Provincia;Latitud;Longitud
Albacete;38.9941;-1.8584
Alicante/Alacant;38.34731;-0.49902
Almería;36.83800;-2.46059
Araba/Álava;42.85306;-2.69405
Asturias;43.36070;-5.85601
Ávila;40.65251;-4.70146
Badajoz;38.88101;-6.97151
Illes Balears;39.6120;3.0006
Barcelona;41.38705;2.16911
Bizkaia;43.264136;-2.949529
Burgos;42.34221;-3.69814
Cáceres;39.475136;-6.371427
Cádiz;36.5888;-6.3257
Cantabria;43.2072,;-4.3520
Castellón/Castelló;39.944000;-0.103512
Ciudad Real;38.98130;-3.96177
Córdoba;37.88502;-4.80618
A Coruña;43.36413;-8.42626
Cuenca;40.06645;-2.14774
Gipuzkoa;43.1321;-2.4142
Girona;41.961265;2.827542
Granada;37.16362;-3.60266
Guadalajara;40.63372;-3.16591
Huelva;37.26463;-6.95194
Huesca;42.13862;-0.40804
Jaén;37.78076;-3.80221
León;42.587466;-5.577874
Lleida;41.61288;0.62562
Lugo;43.00375;-7.55600
Madrid;40.453042;-3.689105
Málaga;36.72692;-4.42474
Murcia;37.98953;-1.12747
Navarra;42.81646;-1.64550
Ourense;42.33222;-7.87196
Palencia;42.01056;-4.53613
Las Palmas;27.9635;-15.6483
Pontevedra;42.42567;-8.65405
La Rioja;42.46057;-2.44632
Salamanca;40.96609;-5.66993
Santa Cruz de Tenerife;28.2663;-16.6374
Segovia;40.94678;-4.12421
Sevilla;37.356522;-5.983601
Soria;41.76456;-2.47424
Tarragona;41.14053;1.21236
Teruel;40.34419;-1.11438
Toledo;39.86752;-4.04057
Valencia/València;39.474593;-0.359244
Valladolid;41.64303;-4.71893
Zamora;41.50716;-5.75641
Zaragoza;41.636542;-0.901490
Ceuta;35.88825;-5.31725
Melilla;35.28889;-2.95511