Provincia;PSOE;PP;Cs;PODEMOS-IU-EQUO;VOX;ERC-SOBIRANISTES;ECP-GUANYEM EL CANVI;JxCAT-JUNTS;EAJ-PNV;EH Bildu;PODEMOS-EU-MAREAS EN COMÚN-EQUO;CCa-PNC;NA+;COMPROMÍS 2019;PRC
Almería;2;2;1;0;1;0;0;0;0;0;0;0;0;0;0
Cádiz;3;1;2;2;1;0;0;0;0;0;0;0;0;0;0
Córdoba;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0
Granada;3;1;1;1;1;0;0;0;0;0;0;0;0;0;0
Huelva;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0
Jaén;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Málaga;4;2;2;2;1;0;0;0;0;0;0;0;0;0;0
Sevilla;5;2;2;2;1;0;0;0;0;0;0;0;0;0;0
Huesca;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Teruel;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Zaragoza;3;1;1;1;1;0;0;0;0;0;0;0;0;0;0
Asturias;3;1;1;1;1;0;0;0;0;0;0;0;0;0;0
Illes Balears;3;1;1;2;1;0;0;0;0;0;0;0;0;0;0
Las Palmas;3;2;1;2;0;0;0;0;0;0;0;0;0;0;0
Santa Cruz de Tenerife;2;1;1;1;0;0;0;0;0;0;0;2;0;0;0
Cantabria;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1
Albacete;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Ciudad Real;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0
Cuenca;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Guadalajara;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Toledo;2;2;1;0;1;0;0;0;0;0;0;0;0;0;0
Ávila;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Burgos;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
León;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Palencia;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Salamanca;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0
Segovia;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Soria;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Valladolid;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0
Zamora;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Barcelona;9;1;4;0;1;8;6;3;0;0;0;0;0;0;0
Girona;1;0;0;0;0;3;0;2;0;0;0;0;0;0;0
Lleida;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0
Tarragona;1;0;1;0;0;2;1;1;0;0;0;0;0;0;0
Badajoz;3;1;1;0;1;0;0;0;0;0;0;0;0;0;0
Cáceres;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
A Coruña;3;3;1;0;0;0;0;0;0;0;1;0;0;0;0
Lugo;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Ourense;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Pontevedra;3;2;1;0;0;0;0;0;0;0;1;0;0;0;0
Madrid;11;7;8;6;5;0;0;0;0;0;0;0;0;0;0
Navarra;2;0;0;1;0;0;0;0;0;0;0;0;2;0;0
Araba/Álava;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0
Gipuzkoa;1;0;0;1;0;0;0;0;2;2;0;0;0;0;0
Bizkaia;2;0;0;2;0;0;0;0;3;1;0;0;0;0;0
Murcia;3;2;2;1;2;0;0;0;0;0;0;0;0;0;0
La Rioja;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Alicante/Alacant;4;3;2;2;1;0;0;0;0;0;0;0;0;0;0
Castellón/Castelló;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0
Valencia/València;4;3;3;2;2;0;0;0;0;0;0;0;0;1;0
Ceuta;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Melilla;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Total;123;66;57;33;24;15;7;7;6;4;2;2;2;1;1