Provincia;PP;PSOE;IU-LV;UPyD;CiU;AMAIUR;EAJ-PNV;ESQUERRA;BNG;CC-NC-PNC;COMPROMÍS-Q;FAC;GBAI
Almería;4;2;0;0;0;0;0;0;0;0;0;0;0
Cádiz;5;3;0;0;0;0;0;0;0;0;0;0;0
Córdoba;3;3;0;0;0;0;0;0;0;0;0;0;0
Granada;4;3;0;0;0;0;0;0;0;0;0;0;0
Huelva;3;2;0;0;0;0;0;0;0;0;0;0;0
Jaén;3;3;0;0;0;0;0;0;0;0;0;0;0
Málaga;6;3;1;0;0;0;0;0;0;0;0;0;0
Sevilla;5;6;1;0;0;0;0;0;0;0;0;0;0
Huesca;2;1;0;0;0;0;0;0;0;0;0;0;0
Teruel;2;1;0;0;0;0;0;0;0;0;0;0;0
Zaragoza;4;2;1;0;0;0;0;0;0;0;0;0;0
Asturias;3;3;1;0;0;0;0;0;0;0;0;1;0
Illes Balears;5;3;0;0;0;0;0;0;0;0;0;0;0
Las Palmas;5;2;0;0;0;0;0;0;0;1;0;0;0
Santa Cruz de Tenerife;4;2;0;0;0;0;0;0;0;1;0;0;0
Cantabria;4;1;0;0;0;0;0;0;0;0;0;0;0
Albacete;3;1;0;0;0;0;0;0;0;0;0;0;0
Ciudad Real;3;2;0;0;0;0;0;0;0;0;0;0;0
Cuenca;2;1;0;0;0;0;0;0;0;0;0;0;0
Guadalajara;2;1;0;0;0;0;0;0;0;0;0;0;0
Toledo;4;2;0;0;0;0;0;0;0;0;0;0;0
Ávila;2;1;0;0;0;0;0;0;0;0;0;0;0
Burgos;3;1;0;0;0;0;0;0;0;0;0;0;0
León;3;2;0;0;0;0;0;0;0;0;0;0;0
Palencia;2;1;0;0;0;0;0;0;0;0;0;0;0
Salamanca;3;1;0;0;0;0;0;0;0;0;0;0;0
Segovia;2;1;0;0;0;0;0;0;0;0;0;0;0
Soria;1;1;0;0;0;0;0;0;0;0;0;0;0
Valladolid;3;2;0;0;0;0;0;0;0;0;0;0;0
Zamora;2;1;0;0;0;0;0;0;0;0;0;0;0
Barcelona;7;10;3;0;9;0;0;2;0;0;0;0;0
Girona;1;1;0;0;3;0;0;1;0;0;0;0;0
Lleida;1;1;0;0;2;0;0;0;0;0;0;0;0
Tarragona;2;2;0;0;2;0;0;0;0;0;0;0;0
Badajoz;4;2;0;0;0;0;0;0;0;0;0;0;0
Cáceres;2;2;0;0;0;0;0;0;0;0;0;0;0
A Coruña;5;2;0;0;0;0;0;0;1;0;0;0;0
Lugo;3;1;0;0;0;0;0;0;0;0;0;0;0
Ourense;3;1;0;0;0;0;0;0;0;0;0;0;0
Pontevedra;4;2;0;0;0;0;0;0;1;0;0;0;0
Madrid;19;10;3;4;0;0;0;0;0;0;0;0;0
Navarra;2;1;0;0;0;1;0;0;0;0;0;0;1
Araba/Álava;1;1;0;0;0;1;1;0;0;0;0;0;0
Gipuzkoa;1;1;0;0;0;3;1;0;0;0;0;0;0
Bizkaia;1;2;0;0;0;2;3;0;0;0;0;0;0
Murcia;8;2;0;0;0;0;0;0;0;0;0;0;0
La Rioja;3;1;0;0;0;0;0;0;0;0;0;0;0
Alicante/Alacant;8;4;0;0;0;0;0;0;0;0;0;0;0
Castellón/Castelló;3;2;0;0;0;0;0;0;0;0;0;0;0
Valencia/València;9;4;1;1;0;0;0;0;0;0;1;0;0
Ceuta;1;0;0;0;0;0;0;0;0;0;0;0;0
Melilla;1;0;0;0;0;0;0;0;0;0;0;0;0
Total;186;110;11;5;16;7;5;3;2;2;1;1;1